unitid,institution name,year,EF2013D.Student-to-faculty ratio,"DRVIC2013.Tuition and fees, 2013-14",HD2013.Institution size category,HD2013.FIPS state code,HD2013.Geographic region,HD2013.Level of institution,HD2013.Control of institution,HD2013.Degree-granting status,HD2013.Historically Black College or University,HD2013.Tribal college,HD2013.Degree of urbanization (Urban-centric locale),HD2013.Institutional category,HD2013.Carnegie Classification 2010: Basic,HD2013.Carnegie Classification 2010: Undergraduate Instructional Program,HD2013.Carnegie Classification 2010: Graduate Instructional Program,HD2013.Carnegie Classification 2010: Undergraduate Profile,HD2013.Carnegie Classification 2010: Enrollment Profile,HD2013.Carnegie Classification 2010: Size and Setting,HD2013.Land Grant Institution,HD2013.Carnegie Classification 2000,HD2013.Data Feedback Report comparison group category created by NCES
110468,Alliant International University,2013,13,15816,"1,000 - 4,999",California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,"Degree-granting, primarily baccalaureate or above",Doctoral/Research Universities,"Balanced arts & sciences/professions, some graduate coexistence","Doctoral, professional dominant","Medium full-time four-year, inclusive",Majority graduate/professional,"Medium four-year, primarily residential",Not a Land Grant Institution,Other specialized institutions,"Doctoral/Research Universities, private not-for-profit and enrollment of a similar size"
110486,California State University-Bakersfield,2013,24,6775,"5,000 - 9,999",California,Far West AK CA HI NV OR WA,Four or more years,Public,Degree-granting,No,No,City: Large,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Balanced arts & sciences/professions, some graduate coexistence",Postbaccalaureate comprehensive,"Full-time four-year, inclusive",High undergraduate,"Medium four-year, primarily nonresidential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), public /4 of  5"
110495,California State University-Stanislaus,2013,21,6491,"5,000 - 9,999",California,Far West AK CA HI NV OR WA,Four or more years,Public,Degree-granting,No,No,Suburb: Small,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Balanced arts & sciences/professions, some graduate coexistence",Postbaccalaureate comprehensive,"Medium full-time four-year, inclusive",High undergraduate,"Medium four-year, primarily nonresidential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), public /4 of  5"
110510,California State University-San Bernardino,2013,27,6550,"10,000 - 19,999",California,Far West AK CA HI NV OR WA,Four or more years,Public,Degree-granting,No,No,City: Midsize,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Balanced arts & sciences/professions, some graduate coexistence",Postbaccalaureate comprehensive,"Full-time four-year, inclusive",High undergraduate,"Large four-year, primarily nonresidential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), public /1 of 5"
110529,California State Polytechnic University-Pomona,2013,28,6350,"20,000 and above",California,Far West AK CA HI NV OR WA,Four or more years,Public,Degree-granting,No,No,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Professions plus arts & sciences, some graduate coexistence",Postbaccalaureate comprehensive,"Full-time four-year, selective, higher transfer-in",Very high undergraduate,"Large four-year, primarily nonresidential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), public /1 of 5"
110538,California State University-Chico,2013,24,6972,"10,000 - 19,999",California,Far West AK CA HI NV OR WA,Four or more years,Public,Degree-granting,No,No,City: Small,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Balanced arts & sciences/professions, some graduate coexistence",Postbaccalaureate comprehensive,"Full-time four-year, selective, higher transfer-in",Very high undergraduate,"Large four-year, primarily nonresidential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), public /1 of 5"
110547,California State University-Dominguez Hills,2013,23,6100,"10,000 - 19,999",California,Far West AK CA HI NV OR WA,Four or more years,Public,Degree-granting,No,No,City: Small,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Balanced arts & sciences/professions, some graduate coexistence",Postbaccalaureate comprehensive,"Medium full-time four-year, inclusive",High undergraduate,"Large four-year, primarily nonresidential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), public /3 of  5"
110556,California State University-Fresno,2013,22,6287,"20,000 and above",California,Far West AK CA HI NV OR WA,Four or more years,Public,Degree-granting,No,No,City: Large,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Balanced arts & sciences/professions, high graduate coexistence",Single doctoral (education),"Full-time four-year, inclusive",High undergraduate,"Large four-year, primarily nonresidential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), public /1 of 5"
110565,California State University-Fullerton,2013,24,6186,"20,000 and above",California,Far West AK CA HI NV OR WA,Four or more years,Public,Degree-granting,No,No,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Balanced arts & sciences/professions, high graduate coexistence",Postbaccalaureate comprehensive,"Medium full-time four-year, selective, higher transfer-in",High undergraduate,"Large four-year, primarily nonresidential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), public /1 of 5"
110574,California State University-East Bay,2013,25,6550,"10,000 - 19,999",California,Far West AK CA HI NV OR WA,Four or more years,Public,Degree-granting,No,No,City: Midsize,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Balanced arts & sciences/professions, some graduate coexistence",Postbaccalaureate comprehensive,"Full-time four-year, inclusive",High undergraduate,"Large four-year, primarily nonresidential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), public /2 of  5"
110583,California State University-Long Beach,2013,22,6240,"20,000 and above",California,Far West AK CA HI NV OR WA,Four or more years,Public,Degree-granting,No,No,City: Large,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Balanced arts & sciences/professions, high graduate coexistence",Postbaccalaureate comprehensive,"Full-time four-year, selective, higher transfer-in",High undergraduate,"Large four-year, primarily nonresidential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), public /1 of 5"
110592,California State University-Los Angeles,2013,24,6344,"20,000 and above",California,Far West AK CA HI NV OR WA,Four or more years,Public,Degree-granting,No,No,City: Large,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Professions plus arts & sciences, high graduate coexistence",Postbaccalaureate comprehensive,"Medium full-time four-year, inclusive",High undergraduate,"Large four-year, primarily nonresidential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), public /1 of 5"
110608,California State University-Northridge,2013,24,6525,"20,000 and above",California,Far West AK CA HI NV OR WA,Four or more years,Public,Degree-granting,No,No,City: Large,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Balanced arts & sciences/professions, high graduate coexistence",Postbaccalaureate comprehensive,"Medium full-time four-year, inclusive",High undergraduate,"Large four-year, primarily nonresidential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), public /1 of 5"
110617,California State University-Sacramento,2013,26,6628,"20,000 and above",California,Far West AK CA HI NV OR WA,Four or more years,Public,Degree-granting,No,No,City: Large,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Balanced arts & sciences/professions, high graduate coexistence",Single doctoral (other field),"Full-time four-year, inclusive",High undergraduate,"Large four-year, primarily nonresidential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), public /1 of 5"
110635,University of California-Berkeley,2013,17,12864,"20,000 and above",California,Far West AK CA HI NV OR WA,Four or more years,Public,Degree-granting,No,No,City: Midsize,"Degree-granting, primarily baccalaureate or above",Research Universities (very high research activity),"Arts & sciences focus, high graduate coexistence",Comprehensive doctoral (no medical/veterinary),"Full-time four-year, more selective, higher transfer-in",Majority undergraduate,"Large four-year, primarily residential",Land Grant Institution,Doctoral/Research Universities--Extensive,"Research Universities (very high research activity), public /1 of 2"
110644,University of California-Davis,2013,17,13895,"20,000 and above",California,Far West AK CA HI NV OR WA,Four or more years,Public,Degree-granting,No,No,Suburb: Small,"Degree-granting, primarily baccalaureate or above",Research Universities (very high research activity),"Arts & sciences plus professions, high graduate coexistence",Comprehensive doctoral with medical/veterinary,"Full-time four-year, more selective, higher transfer-in",High undergraduate,"Large four-year, primarily residential",Land Grant Institution,Doctoral/Research Universities--Extensive,"Research Universities (very high research activity), public /1 of 2"
110653,University of California-Irvine,2013,19,13149,"20,000 and above",California,Far West AK CA HI NV OR WA,Four or more years,Public,Degree-granting,No,No,City: Midsize,"Degree-granting, primarily baccalaureate or above",Research Universities (very high research activity),"Arts & sciences focus, high graduate coexistence",Comprehensive doctoral with medical/veterinary,"Full-time four-year, more selective, higher transfer-in",High undergraduate,"Large four-year, primarily residential",Not a Land Grant Institution,Doctoral/Research Universities--Extensive,"Research Universities (very high research activity), public /1 of 2"
110662,University of California-Los Angeles,2013,16,12697,"20,000 and above",California,Far West AK CA HI NV OR WA,Four or more years,Public,Degree-granting,No,No,City: Large,"Degree-granting, primarily baccalaureate or above",Research Universities (very high research activity),"Arts & sciences focus, high graduate coexistence",Comprehensive doctoral with medical/veterinary,"Full-time four-year, more selective, higher transfer-in",Majority undergraduate,"Large four-year, primarily residential",Not a Land Grant Institution,Doctoral/Research Universities--Extensive,"Research Universities (very high research activity), public /1 of 2"
110671,University of California-Riverside,2013,19,12960,"20,000 and above",California,Far West AK CA HI NV OR WA,Four or more years,Public,Degree-granting,No,No,City: Large,"Degree-granting, primarily baccalaureate or above",Research Universities (very high research activity),"Arts & sciences plus professions, high graduate coexistence",Comprehensive doctoral (no medical/veterinary),"Full-time four-year, selective, lower transfer-in",High undergraduate,"Large four-year, primarily residential",Land Grant Institution,Doctoral/Research Universities--Extensive,"Research Universities (very high research activity), public /2 of 2"
110680,University of California-San Diego,2013,19,13271,"20,000 and above",California,Far West AK CA HI NV OR WA,Four or more years,Public,Degree-granting,No,No,City: Large,"Degree-granting, primarily baccalaureate or above",Research Universities (very high research activity),"Arts & sciences focus, high graduate coexistence",Comprehensive doctoral with medical/veterinary,"Full-time four-year, more selective, higher transfer-in",High undergraduate,"Large four-year, primarily residential",Not a Land Grant Institution,Doctoral/Research Universities--Extensive,"Research Universities (very high research activity), public /1 of 2"
110705,University of California-Santa Barbara,2013,17,13746,"20,000 and above",California,Far West AK CA HI NV OR WA,Four or more years,Public,Degree-granting,No,No,Suburb: Midsize,"Degree-granting, primarily baccalaureate or above",Research Universities (very high research activity),"Arts & sciences focus, high graduate coexistence",Comprehensive doctoral (no medical/veterinary),"Full-time four-year, more selective, higher transfer-in",High undergraduate,"Large four-year, primarily residential",Not a Land Grant Institution,Doctoral/Research Universities--Extensive,"Research Universities (very high research activity), public /2 of 2"
